id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
512687,Luxury Apt. 4bedrooms+4 bathrooms,2467169,Attila,,VII. kerület,47.49559,19.06121,Entire home/apt,111823,3,173,2024-12-26,1.19,1,304,12,
520543,Charming apartment in the heart of Budapest,2561284,Monika,,V. kerület,47.50098,19.04925,Entire home/apt,30458,3,333,2025-01-13,2.19,1,342,18,MA23085294
526096,"Best panorama, great location on Buda side",2586241,Kati,,I. kerület,47.49886,19.03941,Entire home/apt,24300,2,697,2025-01-03,4.58,2,126,54,EG20000148
537243,Romantic downtown flat with a view,2638850,Krisztina,,VIII. kerület,47.4901,19.06252,Entire home/apt,30564,5,112,2025-01-03,0.73,1,124,10,
555418,Friendly VINTAGE apt in the DOWNTOWN with A/C,2731072,Henriett,,VII. kerület,47.50979995727539,19.080608367919922,Entire home/apt,11643,1,339,2024-10-30,2.22,3,350,12,EG19006528
586816,Boho Home @ Jewish quarter *Ac* Washer *4 Families,2491577,Dorka & Nándor,,VII. kerület,47.49891,19.06702,Entire home/apt,19072,1,378,2025-01-03,2.49,2,325,46,MA20001259
598070,"Fireplace Holidays, comfy, downtown, elegant, WiFi",2957230,Vadim,,VII. kerület,47.50274,19.07082,Entire home/apt,13448,1,110,2024-08-14,0.72,1,341,2,MA19011088
598126,Hungarian Souvenir-in the center.,1973806,Home In Budapest,,V. kerület,47.48758,19.05623,Entire home/apt,19968,2,40,2025-01-04,0.27,27,121,3,EG19006849
609557,Kornelia Residence State-of-the-Art,3022365,Helena,,XI. kerület,47.46933,19.04585,Entire home/apt,43955,3,35,2024-07-28,0.24,1,11,1,MA23069306
610058,Privát szoba kertvárosban buszmegálló a haz előtt!,3025178,Zsuzsanna,,III. kerület,47.59899,19.04224,Private room,36677,1,120,2024-07-23,0.98,1,259,2,MA23084228
615090,"Cool nest, 3 bath, 3 rooms for you!",2597771,Nati,,VI. kerület,47.49839401245117,19.055173873901367,Entire home/apt,30446,2,537,2025-01-05,3.55,1,282,47,MA19010652
620060,"Hideaway for couples, district 5, aircondition",2935805,Gábor,,V. kerület,47.48811,19.05509,Entire home/apt,22413,3,27,2025-01-20,0.18,2,324,6,
621713,Family Buda Apartment 65 m2 - balcony - A/C,2935805,Gábor,,XI. kerület,47.47898,19.057,Entire home/apt,25617,3,6,2025-01-06,0.10,2,272,5,
622892,Luxury Apartment by Hi5 - The Actor's Den,1260605,Mark,,I. kerület,47.50265,19.03882,Entire home/apt,35063,2,265,2025-01-23,1.76,1,301,25,MA21030381
629052,Budapest centrum,3124717,Mária,,VIII. kerület,47.48898,19.08737,Entire home/apt,28526,2,13,2024-08-16,0.09,1,142,2,MA22036974
647417,Artcafe - Lovely central apartment,3245854,Sylvia,,XIII. kerület,47.51333,19.0494,Entire home/apt,11410,3,216,2024-11-25,1.46,1,157,25,MA21007530
655633,BEST LOCATION IN BUDAPEST!,3300830,Carciente,,VII. kerület,47.50031,19.06231,Entire home/apt,16000,1,133,2025-01-04,0.89,1,181,14,
663225,"Sarah's Rooms, quiet retreat in the centre",3349351,Hajnal,,V. kerület,47.49412,19.05714,Entire home/apt,27161,2,137,2025-01-05,0.91,5,182,22,MA19015766
663227,"Grandiose aptmnt at Central Market, Free parking",3349351,Hajnal,,IX. kerület,47.48631,19.0599,Entire home/apt,51714,3,75,2025-01-02,0.55,5,296,8,EG19015755
668559,Huge balcony over main shopping street,3384393,Zoltán György,,V. kerület,47.49524,19.0548,Entire home/apt,13566,2,193,2025-01-11,2.05,3,60,44,
668708,Krudy apartment 2,3385126,Laszlo,,VIII. kerület,47.49129,19.06996,Entire home/apt,97016,3,44,2023-08-16,0.34,1,362,0,MA21027052
672636,Cozy room close to center,3410686,Petra,,II. kerület,47.52992,18.99989,Private room,7885,2,263,2025-01-03,1.75,3,31,26,MA19008838
681302,Minimalist Design in the Centre,3469377,Bence,,VI. kerület,47.5079,19.0551,Entire home/apt,13391,3,236,2025-01-12,1.57,1,73,51,
684779,Quiet room close to center,3410686,Petra,,II. kerület,47.52808,19.00694,Private room,9121,1,242,2025-01-01,1.65,3,31,38,MA19008838
686912,Studio apartment w/ Parliament view,3499820,Bertalan,,II. kerület,47.50801,19.03758,Entire home/apt,18338,7,28,2019-12-27,0.19,2,357,0,
701842,2 room Apartment at Újbuda Center,3602396,Gabriella,,XI. kerület,47.47658,19.05288,Entire home/apt,9316,20,6,2024-07-27,0.05,3,265,2,
701843,2-bedroom flat in Center of Buda,3602396,Gabriella,,XI. kerület,47.47698,19.05579,Entire home/apt,30564,30,9,2024-08-05,0.07,3,278,3,
701970,"In the centre, Free Garage Parking, 2BR, 4beds",3603132,Janos,,VII. kerület,47.503719,19.084976,Entire home/apt,48902,3,13,2022-10-31,0.10,1,365,0,MA19010186
702014,Apartment in the city centre,3603387,Jordan & Kate,,XIII. kerület,47.51254,19.05202,Entire home/apt,21214,7,89,2025-01-05,0.77,4,256,12,MA19021920
715974,Jewellery box with privat terrace at Oktogon,3614005,Agnes,,VI. kerület,47.50596,19.06618,Entire home/apt,27711,1,262,2024-12-26,1.78,1,0,11,MA23083641
717504,Sunny Flat - Centre of Budapest,502844,Paolo,,VII. kerület,47.49974,19.06494,Entire home/apt,21089,3,32,2023-08-17,0.22,7,233,0,EG20004753
718942,Elegance by the Basilica and Danube,2474576,Kevin,,V. kerület,47.50017,19.04979,Entire home/apt,22862,3,686,2025-01-02,4.61,1,243,48,
727114,Budapest city center,3062569,Racsak,,VII. kerület,47.50392837478476,19.074526276846623,Private room,50940,1,225,2022-08-12,1.53,2,327,0,MA22049580
739620,Top-floor apartment nearby Astoria,3868846,Ádám,,VII. kerület,47.49565,19.06327,Entire home/apt,16476,6,318,2025-01-18,2.14,1,328,35,MA19015980
757565,70sqm SUITE in the CENTRE,3989820,Szilvia,,VI. kerület,47.5035,19.05828,Entire home/apt,34350,1,87,2021-08-28,0.59,2,361,0,MA19023347
764366,Central Location Prime Design 76 sqm,947441,Sophia,,VIII. kerület,47.48973,19.06561,Entire home/apt,39000,4,86,2025-01-03,0.61,2,263,14,MA19015991
773983,3-Room Apartment & Inside Parking,4083563,Thomas,,VI. kerület,47.51166,19.07358,Entire home/apt,63165,4,60,2024-12-03,0.46,5,246,5,EG19014772
775577,Opera Garden Hotel Deluxe Apartment,4091222,Opera Garden,,VI. kerület,47.50354,19.0578,Hotel room,72946,1,3,2022-05-15,0.08,5,322,0,SZ19002268
786856,"Apartment in the ""antique street""",4148075,Melinda,,V. kerület,47.50998,19.04793,Entire home/apt,22413,3,49,2021-11-13,0.37,1,12,0,MA23080024
789191,2 BEDROOMS APARTMENT NEXT TO THE ANDRÁSSY STR,4158583,Judit,,VI. kerület,47.50844,19.0735,Entire home/apt,20800,4,78,2025-01-03,0.55,2,259,8,MA19004902
793963,"ARTIST LOFT,Centre,Oktogon,Wifi!!!",3989820,Szilvia,,VI. kerület,47.5023,19.06164,Entire home/apt,39472,2,68,2022-01-02,0.48,2,361,0,MA19023347
795024,Deluxe apartment in the heart of the city,4065004,Éva,,V. kerület,47.49614715576172,19.049890518188477,Entire home/apt,18338,2,414,2025-01-20,2.88,1,310,55,MA20000034
797897,Perfect vacation in prime location of Downtown,1134121,Andrew,,V. kerület,47.49664,19.0539,Entire home/apt,30564,3,482,2023-09-23,3.28,4,176,0,MA19003280
811681,3-Room Apartment in Vaci Street,4083563,Thomas,,V. kerület,47.48834,19.05716,Entire home/apt,13856,5,14,2022-05-29,0.10,5,225,0,EG19010546
811699,Apartment close to the Synagogue,4083563,Thomas,,VII. kerület,47.49677,19.06211,Entire home/apt,17931,5,73,2025-01-12,0.65,5,202,4,EG19011441
811709,Sunny Apartment with Garage (extra) and Balcony,4083563,Thomas,,V. kerület,47.49205,19.05901,Entire home/apt,63047,5,36,2024-11-05,0.26,5,170,2,MA19012621
825166,JAM Downtown Apartman with Free Parking and A/C,4330735,Judit,,VII. kerület,47.49799,19.06415,Entire home/apt,13307,2,463,2025-01-25,3.50,7,46,34,MA19016994
827974,Whole Appartment in City Center,3922144,Gyorgy,,V. kerület,47.49416,19.05213,Entire home/apt,16301,2,234,2025-01-26,1.76,1,307,60,MA19014098
845045,Dreher 3 Historical Building center Budapest V,13093640,Stefano,,V. kerület,47.49374,19.05711,Entire home/apt,27736,5,119,2024-12-29,0.84,6,360,32,MA20009311
845103,Dreher 4 Historic Building down town Budapest V,13093640,Stefano,,V. kerület,47.49374,19.05711,Entire home/apt,25009,5,132,2024-11-04,0.93,6,360,18,MA20009311
845318,Central Location - Grand Boulevard,4395896,Mike,,VII. kerület,47.49979,19.06895,Entire home/apt,13505,3,133,2025-01-03,0.90,3,147,3,MA23063103
847640,Pleasant apartment with a terrace on the Danube.,4425704,Tamas,,XIII. kerület,47.51905,19.05135,Entire home/apt,11439,3,140,2025-01-27,0.99,3,174,15,MA19017204
847643,Lovely nest apartment at Vaci utca!,4425704,Tamas,,V. kerület,47.49692,19.05313,Entire home/apt,11003,3,298,2025-01-27,2.07,3,265,44,MA19021872
847668,Budapest Downtown - What else?,4334000,Judit,,VI. kerület,47.50252,19.05963,Entire home/apt,26077,4,82,2025-01-18,0.56,2,230,18,
869278,"Bright, quite, City studio w AC in historic house",619525,Balázs,,VIII. kerület,47.48896161822921,19.065932273864746,Entire home/apt,17792,2,536,2024-09-09,3.68,5,11,44,EG20000223
872374,"Palazzo  Apt: Style, fire-place and balcony.",4602793,Eliane,,VIII. kerület,47.4931,19.07204,Entire home/apt,38221,2,92,2024-09-09,0.83,2,114,9,MA19016940
875108,3 bedrooms / pretty cool Student flat share,313308,Sylvain,,VIII. kerület,47.48992,19.08406,Entire home/apt,20376,90,5,2017-08-19,0.04,1,362,0,
885927,❤️ Romeo and Juliet ❤️ - at Andrássy street,4696670,Maria,,VI. kerület,47.50993,19.06597,Entire home/apt,13675,3,582,2025-01-06,3.99,1,178,40,MA19013671
886095,30 meters from St Stephen Square,4697608,Péter,,V. kerület,47.50124,19.05206,Entire home/apt,18000,3,904,2025-01-12,6.23,3,131,67,
