id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6020,"Really local, quiet-clean, Danube-Parlament close",2850,Janos,,XIII. kerület,47.51425,19.04829,Entire home/apt,17271,2,124,2025-01-09,0.66,3,242,7,
15304,Astoria Garden View Private Room AC by Budapesting,60010,Zsuzsanna,,VII. kerület,47.4953,19.06096,Private room,18680,700,268,2024-12-22,1.46,34,269,2,MA19003534
15308,Parliament View Terrace Room & AC by BUDAPESTING,60010,Zsuzsanna,,V. kerület,47.50413,19.05463,Private room,30128,2,139,2024-12-31,0.76,34,1,1,MA19006827
15309,Parliament View Penthouse 5Be/3Ba/AC Budapesting,60010,Zsuzsanna,,V. kerület,47.5043,19.05416,Entire home/apt,47998,2,454,2025-02-16,2.54,34,220,66,MA19006827
15313,Astoria Residence Deluxe 3Be/2Ba/AC by Budapesting,60010,Zsuzsanna,,VII. kerület,47.4953,19.06096,Entire home/apt,29121,2,160,2025-02-05,0.94,34,269,37,MA19003534
27610,Wellness apartment with sauna and huge bathtub,119397,Akos,,XIII. kerület,47.51636,19.04997,Entire home/apt,152649,364,164,2020-02-16,0.95,2,365,0,
33480,(P2/SZA) Quiet place in heart of the city center,144924,Andras,,V. kerület,47.49357,19.05515,Entire home/apt,12051,3,405,2025-02-10,2.47,5,155,29,MA19014295
38620,Roomy studio A/C&WiFi next Oktogon,165612,Georgie,,VI. kerület,47.50529,19.06878,Entire home/apt,60256,25,52,2016-05-30,0.31,2,0,0,
68700,"Spacious, 3-Bedroom Apartment at Opera House",341817,Orsolya,,VI. kerület,47.503677,19.060095,Entire home/apt,24688,2,211,2025-01-06,1.25,1,195,23,EG19022160
75322,Elegant & cozy stay in a prime central location.,399548,Katalin,,VII. kerület,47.49721,19.0612,Entire home/apt,30057,4,147,2025-01-04,1.02,3,146,32,MA19015037
75510,Good Old Budapest downtown,400940,Barnabás,,V. kerület,47.49752,19.05109,Entire home/apt,14884,2,765,2025-02-18,4.55,1,66,63,
